Бүс,Он,value
0,0,39126
0,1,37770
0,2,36993
0,3,36118
0,4,35110
0,5,34073
0,6,32085
0,7,30411
0,8,29242
0,9,28889
0,10,28490
0,11,27449
0,12,27205
0,13,26863
0,14,26492
0,15,26358
0,16,26070
0,17,25543
0,18,23897
0,19,22891
0,20,22628
0,21,21458
0,22,20792
0,23,20752
0,24,20076
0,25,19223
1,0,5727
1,1,5651
1,2,5587
1,3,5602
1,4,5535
1,5,5461
1,6,5307
1,7,5209
1,8,5109
1,9,5116
1,10,5131
1,11,4919
1,12,4916
1,13,4918
1,14,4829
1,15,4756
1,16,4724
1,17,4624
1,18,4319
1,19,4146
1,20,4040
1,21,3867
1,22,3725
1,23,3734
1,24,3542
1,25,3350
183,0,1831
183,1,1797
183,2,1776
183,3,1755
183,4,1704
183,5,1655
183,6,1600
183,7,1537
183,8,1510
183,9,1493
183,10,1467
183,11,1395
183,12,1392
183,13,1365
183,14,1341
183,15,1298
183,16,1274
183,17,1206
183,18,1127
183,19,1092
183,20,1062
183,21,993
183,22,937
183,23,940
183,24,855
183,25,753
182,0,781
182,1,796
182,2,784
182,3,788
182,4,793
182,5,777
182,6,751
182,7,715
182,8,703
182,9,697
182,10,688
182,11,661
182,12,666
182,13,677
182,14,651
182,15,660
182,16,650
182,17,644
182,18,598
182,19,546
182,20,547
182,21,538
182,22,513
182,23,500
182,24,491
182,25,486
181,0,965
181,1,955
181,2,951
181,3,938
181,4,928
181,5,926
181,6,916
181,7,900
181,8,894
181,9,893
181,10,896
181,11,879
181,12,868
181,13,885
181,14,884
181,15,873
181,16,885
181,17,888
181,18,831
181,19,798
181,20,791
181,21,777
181,22,750
181,23,777
181,24,760
181,25,730
185,0,1058
185,1,1039
185,2,1022
185,3,1048
185,4,1046
185,5,1053
185,6,1018
185,7,1028
185,8,982
185,9,1027
185,10,1046
185,11,991
185,12,996
185,13,997
185,14,980
185,15,981
185,16,975
185,17,964
185,18,882
185,19,857
185,20,811
185,21,764
185,22,765
185,23,736
185,24,688
185,25,680
184,0,1092
184,1,1064
184,2,1054
184,3,1073
184,4,1064
184,5,1050
184,6,1022
184,7,1029
184,8,1020
184,9,1006
184,10,1034
184,11,993
184,12,994
184,13,994
184,14,973
184,15,944
184,16,940
184,17,922
184,18,881
184,19,853
184,20,830
184,21,795
184,22,760
184,23,781
184,24,748
184,25,701
2,0,6947
2,1,6887
2,2,6779
2,3,6732
2,4,6606
2,5,6553
2,6,6248
2,7,6083
2,8,6030
2,9,5957
2,10,5947
2,11,5785
2,12,5800
2,13,5805
2,14,5771
2,15,5757
2,16,5722
2,17,5629
2,18,5198
2,19,5051
2,20,5017
2,21,4789
2,22,4635
2,23,4679
2,24,4554
2,25,4393
265,0,1030
265,1,1009
265,2,1010
265,3,1010
265,4,1022
265,5,1030
265,6,1008
265,7,988
265,8,978
265,9,989
265,10,1001
265,11,951
265,12,957
265,13,965
265,14,967
265,15,977
265,16,964
265,17,944
265,18,834
265,19,831
265,20,816
265,21,780
265,22,755
265,23,782
265,24,752
265,25,743
264,0,1013
264,1,1010
264,2,997
264,3,989
264,4,941
264,5,936
264,6,923
264,7,886
264,8,871
264,9,870
264,10,875
264,11,858
264,12,856
264,13,873
264,14,855
264,15,852
264,16,839
264,17,833
264,18,747
264,19,744
264,20,755
264,21,724
264,22,717
264,23,702
264,24,706
264,25,665
263,0,659
263,1,654
263,2,652
263,3,659
263,4,639
263,5,641
263,6,601
263,7,582
263,8,597
263,9,573
263,10,551
263,11,539
263,12,561
263,13,572
263,14,556
263,15,569
263,16,568
263,17,573
263,18,557
263,19,540
263,20,540
263,21,516
263,22,522
263,23,533
263,24,516
263,25,529
261,0,1302
261,1,1288
261,2,1241
261,3,1205
261,4,1150
261,5,1539
261,6,1486
261,7,1456
261,8,1421
261,9,1407
261,10,1410
261,11,1371
261,12,1389
261,13,1370
261,14,1340
261,15,1306
261,16,989
261,17,978
261,18,967
261,19,939
261,20,912
261,21,877
261,22,833
261,23,847
261,24,848
261,25,755
262,0,1310
262,1,1308
262,2,1288
262,3,1295
262,4,1292
262,5,1162
262,6,1108
262,7,1035
262,8,1018
262,9,1008
262,10,965
262,11,959
262,12,944
262,13,936
262,14,972
262,15,974
262,16,1083
262,17,1041
262,18,956
262,19,906
262,20,898
262,21,830
262,22,797
262,23,820
262,24,783
262,25,780
267,0,1633
267,1,1618
267,2,1591
267,3,1574
267,4,1562
267,5,1245
267,6,1122
267,7,1136
267,8,1145
267,9,1110
267,10,1145
267,11,1107
267,12,1093
267,13,1089
267,14,1081
267,15,1079
267,16,1279
267,17,1260
267,18,1137
267,19,1091
267,20,1096
267,21,1062
267,22,1011
267,23,995
267,24,949
267,25,921
3,0,5860
3,1,5627
3,2,5472
3,3,5389
3,4,5240
3,5,5187
3,6,5067
3,7,4858
3,8,4751
3,9,4682
3,10,4755
3,11,4593
3,12,4522
3,13,4534
3,14,4484
3,15,4492
3,16,4451
3,17,4402
3,18,4212
3,19,4048
3,20,4056
3,21,3919
3,22,3872
3,23,3952
3,24,3912
3,25,3855
342,0,214
342,1,211
342,2,214
342,3,217
342,4,203
342,5,864
342,6,855
342,7,821
342,8,763
342,9,757
342,10,811
342,11,771
342,12,760
342,13,770
342,14,789
342,15,793
342,16,165
342,17,160
342,18,146
342,19,127
342,20,126
342,21,113
342,22,122
342,23,126
342,24,123
342,25,117
345,0,1304
345,1,1280
345,2,1230
345,3,1166
345,4,1116
345,5,1098
345,6,1074
345,7,1028
345,8,1022
345,9,1019
345,10,1035
345,11,983
345,12,964
345,13,958
345,14,938
345,15,965
345,16,1017
345,17,1021
345,18,997
345,19,964
345,20,954
345,21,944
345,22,899
345,23,867
345,24,851
345,25,823
344,0,758
344,1,727
344,2,722
344,3,698
344,4,685
344,5,193
344,6,185
344,7,186
344,8,176
344,9,181
344,10,179
344,11,171
344,12,167
344,13,171
344,14,165
344,15,168
344,16,523
344,17,519
344,18,475
344,19,461
344,20,448
344,21,404
344,22,398
344,23,410
344,24,422
344,25,418
348,0,536
348,1,525
348,2,514
348,3,521
348,4,531
348,5,1125
348,6,1090
348,7,1055
348,8,1025
348,9,1012
348,10,1021
348,11,1013
348,12,1012
348,13,1015
348,14,1026
348,15,1031
348,16,486
348,17,475
348,18,437
348,19,409
348,20,389
348,21,377
348,22,379
348,23,387
348,24,383
348,25,387
346,0,929
346,1,812
346,2,778
346,3,755
346,4,737
346,5,664
346,6,649
346,7,629
346,8,623
346,9,600
346,10,593
346,11,574
346,12,552
346,13,555
346,14,531
346,15,531
346,16,505
346,17,477
346,18,457
346,19,424
346,20,429
346,21,414
346,22,412
346,23,430
346,24,411
346,25,405
343,0,1159
343,1,1134
343,2,1125
343,3,1134
343,4,1096
343,5,523
343,6,522
343,7,505
343,8,518
343,9,508
343,10,520
343,11,486
343,12,482
343,13,484
343,14,485
343,15,486
343,16,962
343,17,954
343,18,921
343,19,910
343,20,944
343,21,915
343,22,898
343,23,937
343,24,919
343,25,900
341,0,960
341,1,938
341,2,889
341,3,898
341,4,872
341,5,720
341,6,692
341,7,634
341,8,624
341,9,605
341,10,596
341,11,595
341,12,585
341,13,581
341,14,550
341,15,518
341,16,793
341,17,796
341,18,779
341,19,753
341,20,766
341,21,752
341,22,764
341,23,795
341,24,803
341,25,805
4,0,2479
4,1,2430
4,2,2414
4,3,2355
4,4,2323
4,5,2281
4,6,2196
4,7,2131
4,8,2071
4,9,2036
4,10,2112
4,11,2024
4,12,2015
4,13,2018
4,14,2049
4,15,2077
4,16,2047
4,17,2067
4,18,1937
4,19,1870
4,20,1848
4,21,1798
4,22,1772
4,23,1810
4,24,1752
4,25,1667
421,0,906
421,1,900
421,2,889
421,3,884
421,4,869
421,5,863
421,6,828
421,7,798
421,8,791
421,9,775
421,10,786
421,11,749
421,12,750
421,13,760
421,14,781
421,15,813
421,16,804
421,17,808
