Бүс,Он,value
0,0,819.9
0,1,797.9
0,2,771.7
0,3,746.4
0,4,712.3
0,5,680.8
0,6,640.4
0,7,593.2
0,8,572.8
0,9,552.0
0,10,535.1
0,11,505.8
0,12,497.0
0,13,496.1
0,14,505.4
0,15,512.2
0,16,522.1
0,17,532.1
0,18,537.5
0,19,542.5
0,20,556.9
0,21,557.3
0,22,537.3
0,23,527.9
0,24,510.3
0,25,494.6
1,0,97.8
1,1,96.2
1,2,94.6
1,3,93.8
1,4,92.3
1,5,91.1
1,6,88.1
1,7,85.4
1,8,85.1
1,9,84.0
1,10,84.2
1,11,81.7
1,12,83.1
1,13,85.2
1,14,87.9
1,15,90.3
1,16,93.6
1,17,96.2
1,18,96.8
1,19,96.5
1,20,99.6
1,21,99.7
1,22,92.9
1,23,91.1
1,24,87.6
1,25,83.7
183,0,27.7
183,1,27.0
183,2,26.3
183,3,25.9
183,4,25.4
183,5,25.0
183,6,23.8
183,7,23.2
183,8,23.1
183,9,22.6
183,10,22.6
183,11,21.6
183,12,22.3
183,13,22.6
183,14,23.1
183,15,23.2
183,16,23.8
183,17,24.0
183,18,23.7
183,19,23.3
183,20,23.4
183,21,23.7
183,22,22.4
183,23,21.6
183,24,20.2
183,25,18.8
182,0,11.8
182,1,11.8
182,2,11.7
182,3,11.8
182,4,11.8
182,5,11.9
182,6,11.7
182,7,11.4
182,8,11.4
182,9,11.3
182,10,11.3
182,11,11.1
182,12,11.3
182,13,11.6
182,14,12.0
182,15,12.3
182,16,12.6
182,17,12.9
182,18,12.9
182,19,13.1
182,20,15.1
182,21,15.0
182,22,12.5
182,23,12.5
182,24,12.8
182,25,12.7
181,0,15.6
181,1,15.7
181,2,15.7
181,3,15.8
181,4,15.8
181,5,15.5
181,6,15.2
181,7,14.5
181,8,14.7
181,9,14.6
181,10,14.6
181,11,14.2
181,12,14.2
181,13,14.6
181,14,15.1
181,15,15.6
181,16,16.9
181,17,17.5
181,18,17.8
181,19,17.7
181,20,18.3
181,21,18.4
181,22,18.0
181,23,18.0
181,24,17.1
181,25,16.6
185,0,20.2
185,1,20.0
185,2,19.7
185,3,19.3
185,4,18.8
185,5,18.5
185,6,18.0
185,7,17.7
185,8,17.5
185,9,17.4
185,10,17.4
185,11,17.0
185,12,17.4
185,13,18.0
185,14,18.7
185,15,19.6
185,16,19.8
185,17,20.4
185,18,20.5
185,19,20.8
185,20,21.2
185,21,20.8
185,22,19.6
185,23,18.9
185,24,18.1
185,25,17.3
184,0,22.3
184,1,21.8
184,2,21.2
184,3,21.0
184,4,20.5
184,5,20.2
184,6,19.4
184,7,18.6
184,8,18.5
184,9,18.1
184,10,18.3
184,11,17.8
184,12,17.9
184,13,18.4
184,14,19.0
184,15,19.6
184,16,20.5
184,17,21.4
184,18,21.9
184,19,21.6
184,20,21.6
184,21,21.8
184,22,20.4
184,23,20.1
184,24,19.4
184,25,18.3
2,0,136.2
2,1,134.1
2,2,131.5
2,3,129.1
2,4,125.9
2,5,122.9
2,6,117.4
2,7,111.1
2,8,109.9
2,9,108.0
2,10,106.3
2,11,103.3
2,12,103.8
2,13,105.9
2,14,109.8
2,15,114.0
2,16,117.9
2,17,121.3
2,18,123.5
2,19,124.0
2,20,125.8
2,21,126.2
2,22,121.0
2,23,118.6
2,24,114.2
