Бүс,Он,value
0,0,900
0,1,885
0,2,871
0,3,859
0,4,848
0,5,839
0,6,820
0,7,803
0,8,798
0,9,778
0,10,768
0,11,762
0,12,756
0,13,755
0,14,752
0,15,751
0,16,755
0,17,748
0,18,754
0,19,742
0,20,724
0,21,710
0,22,686
0,23,688
0,24,700
0,25,683
1,0,157
1,1,159
1,2,156
1,3,156
1,4,157
1,5,157
1,6,157
1,7,156
1,8,156
1,9,156
1,10,155
1,11,155
1,12,155
1,13,155
1,14,154
1,15,152
1,16,151
1,17,151
1,18,154
1,19,154
1,20,150
1,21,150
1,22,151
1,23,153
1,24,153
1,25,145
183,0,43
183,1,45
183,2,44
183,3,44
183,4,44
183,5,44
183,6,43
183,7,43
183,8,43
183,9,43
183,10,43
183,11,43
183,12,42
183,13,42
183,14,42
183,15,43
183,16,42
183,17,41
183,18,41
183,19,41
183,20,38
183,21,37
183,22,37
183,23,37
183,24,35
183,25,35
182,0,28
182,1,28
182,2,28
182,3,28
182,4,28
182,5,28
182,6,29
182,7,28
182,8,28
182,9,28
182,10,28
182,11,28
182,12,28
182,13,28
182,14,28
182,15,28
182,16,28
182,17,28
182,18,29
182,19,29
182,20,27
182,21,27
182,22,28
182,23,29
182,24,28
182,25,28
181,0,31
181,1,31
181,2,30
181,3,30
181,4,30
181,5,30
181,6,30
181,7,30
181,8,30
181,9,30
181,10,30
181,11,30
181,12,30
181,13,30
181,14,30
181,15,30
181,16,31
181,17,32
181,18,33
181,19,33
181,20,32
181,21,33
181,22,33
181,23,34
181,24,38
181,25,34
185,0,30
185,1,30
185,2,29
185,3,29
185,4,30
185,5,30
185,6,30
185,7,30
185,8,30
185,9,30
185,10,30
185,11,30
185,12,31
185,13,31
185,14,30
185,15,28
185,16,27
185,17,27
185,18,27
185,19,27
185,20,30
185,21,30
185,22,30
185,23,29
185,24,27
185,25,26
184,0,25
184,1,25
184,2,25
184,3,25
184,4,25
184,5,25
184,6,25
184,7,25
184,8,25
184,9,25
184,10,24
184,11,24
184,12,24
184,13,24
184,14,24
184,15,23
184,16,23
184,17,23
184,18,24
184,19,24
184,20,23
184,21,23
184,22,23
184,23,24
184,24,25
184,25,22
2,0,174
2,1,176
2,2,175
2,3,176
2,4,178
2,5,177
2,6,177
2,7,175
2,8,173
2,9,172
2,10,172
2,11,168
2,12,167
2,13,167
2,14,166
2,15,170
2,16,171
2,17,165
2,18,166
2,19,168
2,20,163
2,21,165
2,22,159
2,23,160
2,24,169
2,25,164
265,0,30
265,1,30
265,2,30
265,3,30
265,4,32
265,5,33
265,6,33
265,7,33
265,8,33
265,9,33
265,10,34
265,11,32
265,12,32
265,13,32
265,14,33
265,15,35
265,16,35
265,17,35
265,18,36
265,19,36
265,20,35
265,21,35
265,22,34
265,23,35
265,24,32
265,25,32
264,0,32
264,1,32
264,2,32
264,3,33
